DATE,NATURALGASD11
2000-01-01,1874.8916666666666667
2001-01-01,1853.6166666666666667
2002-01-01,1929.5333333333333333
2003-01-01,1845.8833333333333333
2004-01-01,1855.9000000000000000
2005-01-01,1831.1333333333333333
2006-01-01,1825.6416666666666667
2007-01-01,1928.4583333333333333
2008-01-01,1929.0916666666666667
2009-01-01,1903.9833333333333333
2010-01-01,2002.0500000000000000
2011-01-01,2038.9583333333333333
2012-01-01,2142.2416666666666667
2013-01-01,2175.6666666666666667
2014-01-01,2208.1416666666666667
2015-01-01,2271.8000000000000000
2016-01-01,2289.7250000000000000
2017-01-01,2264.7333333333333333
2018-01-01,2518.4500000000000000
2019-01-01,2593.1166666666666667
2020-01-01,2543.1250000000000000
2021-01-01,2557.6250000000000000
2022-01-01,2691.6916666666666667
2023-01-01,2724.1500000000000000
2024-01-01,.
